AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,31-9095,Pharmacy Aides,detailed,38900,4.1,,,,15.5,32250,1.4,10.08,11.88,14.08,17.64,24.23,20960,24720,29280,36690,50390,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,31-9097,Phlebotomists,detailed,128020,1.7,,,,17.92,37280,0.4,12.83,14.72,17.46,20.26,24.4,26690,30610,36320,42130,50740,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,31-9099,"Healthcare Support Workers, All Other",detailed,96720,2.1,,,,19.92,41430,0.5,11.87,14.54,19,24.25,29.39,24700,30240,39530,50430,61120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-1000,Supervisors of Protective Service Workers,minor,323580,0.6,,,,38.02,79080,0.8,18.43,24.84,34.79,48.6,63.08,38340,51680,72360,101090,131210,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-1010,First-Line Supervisors of Law Enforcement Workers,broad,175730,0.4,,,,42.4,88190,0.9,21.4,28.23,39.85,53.61,67.37,44510,58730,82880,111500,140130,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-1011,First-Line Supervisors of Correctional Officers,detailed,53420,0.4,,,,32.5,67600,1.0,18.14,22.41,29.28,40.94,51.82,37720,46610,60910,85160,107780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",broad,78860,1.9,,,,26.54,55210,0.6,14.63,18.51,25.31,31.72,40.28,30420,38500,52650,65970,83780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-9032,Security Guards,detailed,1054400,1.1,,,,16.52,34360,0.5,10.54,12.6,14.93,18.86,24.81,21930,26200,31050,39220,51600,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-9093,Transportation Security Screeners,detailed,46850,0.7,,,,21.6,44920,0.6,17.83,19.39,21.3,23.05,25.74,37090,40330,44300,47950,53540,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,37-3000,Grounds Maintenance Workers,minor,962670,0.6,,,,16.63,34590,0.3,11.03,13.07,15.49,19.07,24.05,22940,27190,32220,39670,50030,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,37-3019,"Grounds Maintenance Workers, All Other",detailed,14310,5.7,,,,19.36,40270,2.1,11.81,13.92,16.45,24.15,32.6,24570,28950,34210,50230,67820,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,39-1013,First-Line Supervisors of Gambling Services Workers,detailed,19100,3.3,,,,24.6,51160,1.0,13.52,18.58,24.25,30.05,35.86,28120,38650,50440,62500,74590,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,39-3020,Motion Picture Projectionists,broad,2270,8.8,,,,16.53,34380,2.7,9.43,11.12,13.22,19.69,29.27,19620,23120,27490,40950,60880,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-1000,Supervisors of Sales Workers,minor,1303400,0.5,,,,26.54,55200,0.2,13.49,16.7,22.15,31.02,44.78,28070,34730,46070,64520,93140,,
