AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,10966830,0.2,,,,,68.15,141760,0.2,27.41,38.42,58.7,82.5,#,57010,79900,122090,171610,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3822780,0.3,,,,,67.24,139860,0.4,22.84,33.08,50.48,81.01,#,47510,68800,104990,168490,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,211850,1.2,,,,,126.41,262930,0.9,35.44,60.61,99.24,#,#,73710,126080,206420,#,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,384980,0.8,,,,,82.46,171520,0.6,39.38,53.47,77.42,101.48,#,81900,111210,161030,211080,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,603710,0.8,,,,,77.37,160930,0.5,32.17,46.11,66.38,96.87,#,66910,95910,138060,201490,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2669000,0.3,,,,,77.21,160590,0.2,37.79,49.54,67.46,93.98,#,78600,103030,140330,195490,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,818620,0.7,,,,,86.76,180470,0.3,41.58,56.91,77.74,102.98,#,86490,118360,161700,214210,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,234380,0.6,,,,,62.11,129180,0.3,36.01,45.49,58.39,75.16,94.86,74900,94620,121440,156330,197310,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,81240,0.8,,,,,72.42,150630,0.3,41.1,51.65,67.07,84.36,105.35,85500,107430,139510,175460,219140,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,215520,0.6,,,,,77.15,160480,0.4,40.28,50.76,67.32,91.33,#,83790,105590,140030,189960,#,,
