AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000_ORIG,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-4141,New Accounts Clerks,detailed,43420,3.1,,,,18.5,38490,1.9,12.9,14.93,17.57,20.96,24.67,26820,31060,36550,43600,51310,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-4151,Order Clerks,detailed,137180,2.5,,,,17.6,36600,0.7,11.18,13.13,16.46,20.99,25.99,23260,27300,34240,43660,54050,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-5051,Postal Service Clerks,detailed,81170,0.0,,,,24.33,50610,0.2,17.2,20.75,23.23,29.21,29.8,35770,43170,48330,60750,61980,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-9021,Data Entry Keyers,detailed,159930,1.8,,,,16.74,34820,0.3,11.24,13.32,16.1,19.16,23.65,23380,27700,33490,39850,49190,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-9061,"Office Clerks, General",detailed,2956060,0.5,,,,17.48,36360,0.2,10.16,12.6,16.37,20.96,26.59,21140,26220,34040,43590,55300,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-9071,"Office Machine Operators, Except Computer",detailed,45960,3.2,,,,16.9,35150,0.6,11.12,13.12,16.08,19.52,24.27,23120,27300,33450,40600,50490,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-9111,Statistical Assistants,detailed,9810,3.6,,,,24.83,51640,1.7,15.38,18.79,23.97,29.8,36.37,31980,39090,49870,61990,75650,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,45-2091,Agricultural Equipment Operators,detailed,26990,4.1,,,,16.01,33300,1.0,10.44,12.7,15.36,18.62,22.67,21720,26410,31950,38730,47150,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,45-4022,Logging Equipment Operators,detailed,26030,3.1,,,,20.22,42060,1.3,12.22,15.42,19.92,24.6,29.3,25430,32070,41440,51170,60930,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2011,Boilermakers,detailed,15820,7.4,,,,31.27,65040,1.3,19.16,25.27,30.34,37.44,45.4,39840,52570,63100,77870,94440,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2031,Carpenters,detailed,734170,0.8,,,,25.41,52850,0.4,14.51,17.86,23.24,30.31,40.72,30170,37140,48330,63050,84690,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2041,Carpet Installers,detailed,26010,5.1,,,,21.79,45320,1.9,11.81,14.9,19.27,27.01,35.69,24570,30990,40090,56180,74240,,
