AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-9199,"Production Workers, All Other",detailed,252660,1.2,,,,,18.68,38860,0.3,13.23,14.68,17.06,21,27.01,27510,30530,35490,43690,56180,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-1041,Aircraft Cargo Handling Supervisors,detailed,7950,2.8,,,,,29.4,61150,0.8,19.73,22.37,25.72,36.65,41.91,41030,46540,53490,76230,87170,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2000,Air Transportation Workers,minor,282820,0.7,,,,,*,131630,1.5,*,*,*,*,*,44210,62730,95010,166150,#,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2012,Commercial Pilots,detailed,48750,2.4,,,,,*,123250,1.0,*,*,*,*,*,54100,76320,103910,149170,217530,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2021,Air Traffic Controllers,detailed,21250,0.9,,,,,62.9,130840,0.4,35.38,44.51,63.58,81.14,91.25,73590,92580,132250,168770,189800,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2022,Airfield Operations Specialists,detailed,14760,2.9,,,,,30.79,64050,1.2,14.64,18.3,23.85,36.59,53.28,30460,38060,49600,76100,110830,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-2030,Flight Attendants,broad,108480,0.8,,,,,*,67020,0.4,*,*,*,*,*,37690,47760,63760,82410,97170,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3000,Motor Vehicle Operators,minor,4315740,0.6,,,,,22.65,47110,0.4,13,17,21.86,27.49,33.93,27040,35360,45460,57190,70570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3031,Driver/Sales Workers,detailed,489510,2.0,,,,,17.1,35560,0.8,9.49,11.84,15.72,21.27,26.54,19730,24630,32690,44250,55200,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3033,Light Truck Drivers,detailed,1059840,0.7,,,,,21.65,45020,0.3,12.86,16.15,19.43,24.35,36.43,26740,33590,40410,50650,75780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3050,Passenger Vehicle Drivers,broad,722960,0.7,,,,,20.39,42420,0.4,12.33,15.11,18.96,23.88,29.76,25650,31440,39440,49670,61900,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3090,Miscellaneous Motor Vehicle Operators,broad,49340,3.3,,,,,18.1,37650,1.5,10.77,12.72,15.96,21.55,28.72,22390,26460,33210,44820,59740,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-3099,"Motor Vehicle Operators, All Other",detailed,49340,3.3,,,,,18.1,37650,1.5,10.77,12.72,15.96,21.55,28.72,22390,26460,33210,44820,59740,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-4000,Rail Transportation Workers,minor,105620,0.8,,,,,33.67,70040,0.4,22.88,29.29,33.15,37.87,42.88,47600,60920,68960,78770,89180,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-4090,Miscellaneous Rail Transportation Workers,broad,2240,8.8,,,,,22.49,46780,1.3,17.04,19.06,20.33,23.98,32.32,35440,39640,42280,49870,67230,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-4099,"Rail Transportation Workers, All Other",detailed,2240,8.8,,,,,22.49,46780,1.3,17.04,19.06,20.33,23.98,32.32,35440,39640,42280,49870,67230,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-5000,Water Transportation Workers,minor,75200,2.9,,,,,39.52,82200,1.5,16.72,22.09,31.78,48.84,63.63,34770,45940,66100,101580,132340,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-5022,Motorboat Operators,detailed,3110,7.0,,,,,22.74,47300,2.6,14.25,16.76,19.92,28.24,35.41,29640,34870,41430,58750,73650,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-5030,Ship Engineers,broad,8650,6.1,,,,,48.55,100980,2.6,25.25,34.81,41.97,51.72,67.3,52520,72410,87300,107580,139990,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-6000,Other Transportation Workers,minor,284810,2.6,,,,,18.15,37750,0.9,11.5,13.63,15.71,18.39,27.15,23920,28340,32680,38240,56470,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-6040,Traffic Technicians,broad,7310,4.5,,,,,26.31,54720,1.2,16.52,19.42,24.06,31.17,40.64,34370,40390,50050,64830,84520,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-6050,Transportation Inspectors,broad,24420,2.5,,,,,38.35,79770,0.8,17.68,26.09,38.26,46.88,60.65,36770,54270,79570,97510,126150,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-7000,Material Moving Workers,minor,7896560,0.2,,,,,17.92,37270,0.3,12.88,14.62,17.15,20.02,23.66,26780,30410,35670,41640,49210,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-7030,Dredge Operators,broad,940,11.1,,,,,24.89,51770,2.4,16.4,19.24,22.64,29,37.06,34110,40030,47090,60320,77080,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-7070,Pumping Station Operators,broad,29160,4.3,,,,,30.11,62620,1.9,17.27,22.08,28.93,37.32,43.2,35920,45930,60180,77620,89860,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-7072,"Pump Operators, Except Wellhead Pumpers",detailed,10870,6.5,,,,,28.44,59150,2.0,17.65,21.51,26.86,35.67,41.07,36700,44740,55860,74200,85430,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-7190,Miscellaneous Material Moving Workers,broad,24880,2.9,,,,,20.81,43290,1.0,14.46,16,18.65,23.48,28.88,30070,33280,38800,48840,60070,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,53-7199,"Material Moving Workers, All Other",detailed,24880,2.9,,,,,20.81,43290,1.0,14.46,16,18.65,23.48,28.88,30070,33280,38800,48840,60070,,
