AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,11132700,0.2,,,,,69.84,145260,0.2,28.91,39.89,60.83,84.75,123.71,60130,82970,126520,176280,257310,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3720520,0.3,,,,,68.33,142120,0.3,24.27,35.22,52.17,82.85,134.48,50480,73260,108510,172330,279710,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,204350,3.1,,,,,129.63,269630,1.9,36.39,62.28,102.88,171.25,244.1,75700,129540,213990,356200,507730,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,395240,0.8,,,,,85.47,177770,0.3,43.39,59.15,80.19,104.04,141.16,90260,123020,166790,216410,293610,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,637080,1.1,,,,,79.02,164350,0.4,35.18,48.25,71.28,99.68,139.68,73170,100360,148270,207340,290540,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2775810,0.3,,,,,79.49,165330,0.3,39.32,51.37,72.45,98.46,135.55,81790,106860,150690,204790,281950,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,841710,0.5,,,,,89.86,186910,0.4,45.34,60.33,80.08,105.76,155.42,94310,125490,166570,219980,323270,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,246250,0.5,,,,,64.5,134170,0.3,37.5,47.19,60.61,77.83,98.81,78000,98160,126060,161880,205520,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,84320,0.8,,,,,75.17,156360,0.4,44.47,55.55,71.19,87.63,107.35,92490,115550,148080,182270,223280,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,220660,0.6,,,,,78.96,164230,0.4,42.4,53.42,71.77,95.81,128.76,88200,111110,149280,199290,267810,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9000,Other Management Occupations,minor,3468900,0.3,,,,,60.07,124950,0.3,27.84,37.4,51.33,76.75,101.34,57910,77790,106770,159650,210800,,
