AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-9022,Real Estate Sales Agents,detailed,197720,4.2,,,,,33.46,69610,1.5,15.1,18.3,26.11,39.16,57.49,31410,38050,54300,81460,119590,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-9030,Sales Engineers,broad,59340,1.8,,,,,62.77,130550,1.0,32.58,41.84,56.23,77.27,97.43,67760,87030,116950,160720,202660,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2000,Communications Equipment Operators,minor,49810,2.3,,,,,19.51,40570,0.6,13.57,15.34,17.8,21.8,29.02,28220,31900,37030,45350,60360,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2010,"Switchboard Operators, Including Answering Service",broad,43830,2.5,,,,,19.24,40020,0.6,13.48,15.19,17.67,21.08,28.28,28030,31600,36750,43840,58810,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2020,Telephone Operators,broad,4600,6.4,,,,,20.24,42100,2.0,14.31,16.26,18.31,23.36,28.48,29770,33820,38080,48590,59230,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2090,Miscellaneous Communications Equipment Operators,broad,1380,11.5,,,,,25.6,53240,2.6,17.37,20.97,23.71,29.67,36.52,36130,43620,49310,61710,75960,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-2099,"Communications Equipment Operators, All Other",detailed,1380,11.5,,,,,25.6,53240,2.6,17.37,20.97,23.71,29.67,36.52,36130,43620,49310,61710,75960,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3000,Financial Clerks,minor,2739760,0.3,,,,,23.01,47860,0.1,15.47,18.12,22.02,26.63,31.55,32170,37690,45790,55380,65610,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3060,Procurement Clerks,broad,61580,1.1,,,,,23.05,47940,0.3,16.6,18.72,22.44,26.34,30.36,34520,38940,46670,54790,63140,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3070,Tellers,broad,340820,2.1,,,,,18.68,38850,0.2,14.29,16.81,18.1,21.11,22.57,29720,34970,37640,43900,46950,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3090,Miscellaneous Financial Clerks,broad,44520,4.0,,,,,25.33,52690,0.6,17.69,21.32,24.01,27.91,34.67,36800,44340,49940,58050,72120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-3099,"Financial Clerks, All Other",detailed,44520,4.0,,,,,25.33,52690,0.6,17.69,21.32,24.01,27.91,34.67,36800,44340,49940,58050,72120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4010,Brokerage Clerks,broad,48060,3.5,,,,,30.35,63130,0.9,22,24.44,28.92,34.65,41.49,45750,50830,60150,72080,86300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4020,Correspondence Clerks,broad,4650,15.0,,,,,22.57,46940,6.1,15,17.43,20.25,27.72,33,31200,36250,42120,57660,68650,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4070,File Clerks,broad,82290,2.2,,,,,19.58,40730,0.5,13,15.55,18.33,22.68,27.95,27040,32350,38130,47180,58140,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4120,"Library Assistants, Clerical",broad,83680,1.4,,,,,17.29,35970,0.3,11.3,13.79,16.36,19.86,24.14,23510,28670,34020,41300,50200,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4140,New Accounts Clerks,broad,41180,4.0,,,,,21.48,44670,0.9,16.85,18.26,21.46,23.43,27.12,35040,37970,44630,48730,56420,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-4150,Order Clerks,broad,91830,2.1,,,,,20.93,43530,0.7,14.78,17.11,20,23.87,28.63,30730,35590,41600,49660,59560,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-5030,Dispatchers,broad,303910,0.7,,,,,24.64,51250,0.2,15.55,18.41,22.85,28.95,36.47,32330,38280,47530,60220,75850,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-5051,Postal Service Clerks,detailed,78130,0.0,,,,,28.48,59240,0.0,20.05,25.69,28.64,34.54,35.17,41700,53440,59570,71840,73150,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9021,Data Entry Keyers,detailed,154230,2.4,,,,,19.29,40130,0.4,13.58,15.7,18.17,22.13,26.6,28250,32660,37790,46020,55330,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9060,"Office Clerks, General",broad,2496370,0.8,,,,,20.94,43560,0.1,13.57,16.18,19.46,23.95,29.66,28230,33660,40480,49820,61690,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9070,"Office Machine Operators, Except Computer",broad,27960,3.3,,,,,19.04,39600,0.6,13.68,15.41,18.01,21.54,25.75,28450,32040,37450,44790,53560,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-9110,Statistical Assistants,broad,7200,3.6,,,,,25.92,53900,0.9,17.05,20.88,24.29,29.79,36.96,35460,43440,50510,61960,76880,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,45-2091,Agricultural Equipment Operators,detailed,28910,3.7,,,,,20.12,41850,1.0,14.45,16.92,19.08,22.43,26.23,30050,35190,39690,46650,54550,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,45-4022,Logging Equipment Operators,detailed,23720,1.9,,,,,23.94,49790,0.9,14.87,18.22,23.19,28.85,33.05,30930,37900,48240,60000,68750,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2010,Boilermakers,broad,11130,4.6,,,,,35.5,73840,1.7,23.81,29.43,34.2,41,49.1,49510,61220,71140,85270,102120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2030,Carpenters,broad,700290,1.9,,,,,29.31,60970,0.4,18,22.18,27.09,34.75,45.47,37440,46130,56350,72290,94580,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2041,Carpet Installers,detailed,15560,4.7,,,,,25.14,52290,1.9,14.98,17.76,22.85,29.6,38.78,31160,36930,47520,61580,80650,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2070,Construction Equipment Operators,broad,496460,0.9,,,,,29.63,61620,0.3,18.37,22.12,26.57,34.69,45.58,38200,46020,55270,72160,94800,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2072,Pile Driver Operators,detailed,3010,7.7,,,,,33.78,70260,3.7,19.64,23.74,30.55,43.97,52.42,40840,49370,63550,91460,109030,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2110,Electricians,broad,712580,0.6,,,,,32.6,67810,0.4,18.49,23.13,29.61,38.59,50.09,38470,48100,61590,80260,104180,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2132,"Insulation Workers, Mechanical",detailed,22850,4.3,,,,,29.1,60530,1.4,18.71,22.16,25.92,34.23,43.63,38910,46090,53920,71200,90760,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2180,Roofers,broad,135140,1.2,,,,,26.85,55840,0.7,17.42,21.23,24.05,29.97,38.39,36240,44150,50030,62330,79850,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2210,Sheet Metal Workers,broad,116190,2.1,,,,,30.9,64270,0.9,17.79,22.04,28.26,37.8,48.49,37000,45840,58780,78620,100850,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2230,Solar Photovoltaic Installers,broad,24510,4.8,,,,,25.55,53140,1.3,18.23,20.55,23.46,28.93,35.37,37920,42740,48800,60180,73560,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3012,Helpers--Carpenters,detailed,21770,5.4,,,,,19.65,40860,0.9,14.39,16.56,18.93,22.38,25.85,29930,34450,39380,46540,53780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3013,Helpers--Electricians,detailed,68670,3.4,,,,,19.83,41240,0.7,14.41,16.85,18.43,22.34,26.88,29970,35040,38340,46470,55900,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3016,Helpers--Roofers,detailed,4540,6.4,,,,,20.33,42280,2.5,14.44,16.83,18.57,21.83,26.56,30040,35010,38620,45400,55250,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-4050,Highway Maintenance Workers,broad,150860,0.9,,,,,23.59,49070,0.3,15.52,18.66,22.77,27.53,31.95,32280,38810,47360,57260,66450,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-5041,Continuous Mining Machine Operators,detailed,15700,3.3,,,,,29.86,62110,0.9,19.29,23.77,29.53,36.41,38.87,40120,49450,61420,75730,80840,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-2091,Avionics Technicians,detailed,21280,2.8,,,,,37.06,77080,0.8,22.39,29.75,37.22,44.19,51.62,46570,61880,77420,91910,107370,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,177280,1.2,,,,,30.93,64340,0.8,20.67,24.24,29.76,36.18,41.21,42990,50420,61900,75260,85720,,
